lat	long	quadrant	continent.region	country
-26.7437	115.4	9	Pacific	**
-26.7437	117.2	9	Pacific	**
-26.7437	119	9	Pacific	**
-26.7437	120.8	10	Pacific	**
-26.7437	122.6	10	Pacific	**
-26.7437	124.4	10	Pacific	**
-26.7437	126.2	10	Pacific	**
-26.7437	128	10	Pacific	**
-26.7437	129.8	10	Pacific	**
-26.7437	131.6	10	Pacific	**
-26.7437	133.4	10	Pacific	**
-26.7437	135.2	10	Pacific	**
-26.7437	137	10	Pacific	**
-26.7437	138.8	10	Pacific	**
-26.7437	140.6	10	Pacific	**
-26.7437	142.4	10	Pacific	**
-26.7437	144.2	10	Pacific	**
-26.7437	146	10	Pacific	**
-26.7437	147.8	10	Pacific	**
-26.7437	149.6	10	Pacific	**
-26.7437	151.4	10	Pacific	**
-25.1507	-70	7	Americas	Chile
-25.1507	-68.2	7	Americas	Chile
-25.1507	-66.4	7	Americas	Chile
-25.1507	-64.6	7	Americas	Chile
-25.1507	-62.8	7	Americas	Chile
-25.1507	-61	7	Americas	Chile
-25.1507	-59.2	7	Americas	Chile
-25.1507	-57.4	7	Americas	Chile
-25.1507	-55.6	7	Americas	Chile
-25.1507	-53.8	7	Americas	Chile
-25.1507	-52	7	Americas	Chile
-25.1507	-50.2	7	Americas	Chile
-25.1507	-48.4	7	Americas	Chile
-25.1507	16.4	8	Africa	**
-25.1507	18.2	8	Africa	**
-25.1507	20	8	Africa	**
-25.1507	21.8	8	Africa	**
-25.1507	23.6	8	Africa	**
-25.1507	25.4	8	Africa	**
-25.1507	27.2	8	Africa	**
-25.1507	29	8	Africa	**
-25.1507	30.8	8	Africa	**
-25.1507	32.6	8	Africa	**
-25.1507	45.2	8	Pacific	**
-25.1507	115.4	9	Pacific	**
-25.1507	117.2	9	Pacific	**
-25.1507	119	9	Pacific	**
-25.1507	120.8	10	Pacific	**
-25.1507	122.6	10	Pacific	**
-25.1507	124.4	10	Pacific	**
-25.1507	126.2	10	Pacific	**
-25.1507	128	10	Pacific	**
-25.1507	129.8	10	Pacific	**
-25.1507	131.6	10	Pacific	**
-25.1507	133.4	10	Pacific	**
-25.1507	135.2	10	Pacific	**
-25.1507	137	10	Pacific	**
-25.1507	138.8	10	Pacific	**
-25.1507	140.6	10	Pacific	**
-25.1507	142.4	10	Pacific	**
-25.1507	144.2	10	Pacific	**
-25.1507	146	10	Pacific	**
-25.1507	147.8	10	Pacific	**
-25.1507	149.6	10	Pacific	**
-25.1507	151.4	10	Pacific	**
-25.1507	153.2	10	Pacific	**
-23.5782	-70	7	Americas	Chile
-23.5782	-68.2	7	Americas	Chile
-23.5782	-66.4	7	Americas	Chile
-23.5782	-64.6	7	Americas	Chile
-23.5782	-62.8	7	Americas	Chile
-23.5782	-61	7	Americas	Chile
-23.5782	-59.2	7	Americas	Chile
-23.5782	-57.4	7	Americas	Chile
-23.5782	-55.6	7	Americas	Chile
-23.5782	-53.8	7	Americas	Chile
-23.5782	-52	7	Americas	Chile
-23.5782	-50.2	7	Americas	Chile
